epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1377.48,0.71836,3.25431,1.12772,0.90554,0.9316,0.9661,0.92152,0.33492,1.24202,0.93691,0.00332745,0.00332745,0.00332745
2,2600.75,0.54823,1.27574,1.03357,0.9874,0.99205,0.995,0.96876,0.28186,0.73513,0.87195,0.00665916,0.00665916,0.00665916
3,3824.69,0.55594,1.03341,1.02074,0.9382,0.96682,0.9921,0.88159,0.47243,0.90673,1.05238,0.00998436,0.00998436,0.00998436
4,5307.36,0.54329,0.92974,1.0158,0.98963,0.99572,0.99497,0.96327,0.29086,0.56959,0.86728,0.00997803,0.00997803,0.00997803
5,6787.93,0.49634,0.79386,0.99302,0.99421,0.99657,0.99497,0.97721,0.25095,0.43569,0.84872,0.00996097,0.00996097,0.00996097
6,8271.35,0.46867,0.70214,0.97887,0.94829,0.96844,0.98867,0.90049,0.40618,0.53282,0.94599,0.00993906,0.00993906,0.00993906
7,9751.51,0.45246,0.63358,0.97198,0.99408,0.99712,0.995,0.97567,0.2537,0.30001,0.85533,0.00991232,0.00991232,0.00991232
8,11240.4,0.44044,0.5843,0.96617,0.93372,0.92083,0.98425,0.91256,0.39688,0.56694,0.98404,0.00988079,0.00988079,0.00988079
9,12714.8,0.42768,0.55036,0.96013,0.98719,0.99228,0.9943,0.98416,0.22847,0.25293,0.83872,0.00984449,0.00984449,0.00984449
10,14191.1,0.41665,0.52013,0.95528,0.96384,0.96849,0.99161,0.97818,0.24282,0.30702,0.84442,0.00980345,0.00980345,0.00980345
11,15664.1,0.41144,0.50392,0.95511,0.99751,0.99938,0.995,0.99123,0.19208,0.18008,0.81553,0.00975773,0.00975773,0.00975773
12,17135.2,0.40279,0.48848,0.94953,0.99636,0.99741,0.995,0.9914,0.2011,0.17874,0.82146,0.00970736,0.00970736,0.00970736
13,18624.4,0.3962,0.46747,0.94478,0.93169,0.96478,0.98686,0.91924,0.33293,0.36739,0.90424,0.00965239,0.00965239,0.00965239
14,20100.4,0.38939,0.45999,0.94485,0.99801,0.9996,0.995,0.99153,0.19408,0.16789,0.81591,0.00959289,0.00959289,0.00959289
15,21573.1,0.39199,0.45961,0.94643,0.99455,0.99924,0.995,0.96753,0.28219,0.20199,0.86826,0.00952889,0.00952889,0.00952889
16,23038.9,0.38397,0.43885,0.94056,0.99701,0.99952,0.995,0.99256,0.19165,0.15336,0.81384,0.00946048,0.00946048,0.00946048
17,24507.3,0.3829,0.43884,0.94148,0.99848,0.9997,0.995,0.99272,0.18627,0.15139,0.81063,0.00938772,0.00938772,0.00938772
18,25968.9,0.37949,0.4287,0.94001,0.99822,1,0.995,0.99163,0.18563,0.14775,0.81368,0.00931067,0.00931067,0.00931067
19,27443.3,0.3772,0.42798,0.94046,0.99795,0.99993,0.995,0.99309,0.18055,0.14082,0.80941,0.00922942,0.00922942,0.00922942
20,28918.1,0.36927,0.4153,0.93548,0.99798,1,0.99497,0.99351,0.17802,0.14074,0.807,0.00914405,0.00914405,0.00914405
21,30401.3,0.36737,0.41056,0.93412,0.99824,0.99984,0.995,0.99246,0.19232,0.13733,0.81457,0.00905463,0.00905463,0.00905463
22,31877.5,0.36592,0.41096,0.93424,0.99834,0.99974,0.995,0.99392,0.17161,0.1309,0.8043,0.00896127,0.00896127,0.00896127
23,33354,0.36349,0.40149,0.93235,0.99723,0.99822,0.99494,0.98812,0.22144,0.16282,0.83052,0.00886404,0.00886404,0.00886404
24,34819.1,0.36253,0.40633,0.93373,0.99731,0.99967,0.99495,0.99144,0.18597,0.14892,0.81361,0.00876305,0.00876305,0.00876305
25,36050.1,0.35622,0.39626,0.92825,0.99863,0.99974,0.995,0.99331,0.18265,0.13312,0.81115,0.00865839,0.00865839,0.00865839
